"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.11043,-9.8697e-24,0.077843,-0.0098324,1,1.036,-2.4,0,-0.964
0.11061,-5.2735e-23,0.077886,-0.0098515,1,1.04,-2.4,0,-0.96
0.11079,-3.988e-22,0.077928,-0.0098706,1,1.044,-2.4,0,-0.956
0.11097,-1.3e-37,0.077971,-0.0098897,1,1.048,-2.4,0,-0.952
0.11115,-5.2048e-37,0.078013,-0.0099088,1,1.052,-2.4,0,-0.948
0.11133,5.2096e-37,0.078056,-0.0099278,1,1.056,-2.4,0,-0.944
0.11151,0,0.078098,-0.0099469,1,1.06,-2.4,0,-0.94
0.11169,0,0.07814,-0.009966,1,1.064,-2.4,0,-0.936
0.11187,0,0.078183,-0.0099851,1,1.068,-2.4,0,-0.932
0.11203,0,0.078222,-0.010004,1,1.072,-2.4,0,-0.928
0.11219,0,0.07826,-0.010023,1,1.076,-2.4,0,-0.924
0.11234,0,0.078298,-0.010042,1,1.08,-2.4,0,-0.92
0.11249,0,0.078336,-0.010061,1,1.084,-2.4,0,-0.916
0.11265,0,0.078374,-0.01008,1,1.088,-2.4,0,-0.912
0.1128,0,0.078412,-0.010099,1,1.092,-2.4,0,-0.908
0.11296,0,0.07845,-0.010118,1,1.096,-2.4,0,-0.904
0.11311,0,0.078489,-0.010137,1,1.1,-2.4,0,-0.9
0.11327,0,0.078527,-0.010156,1,1.104,-2.4,0,-0.896
0.11342,0,0.078565,-0.010175,1,1.108,-2.4,0,-0.892
0.11357,0,0.078603,-0.010194,1,1.112,-2.4,0,-0.888
0.1137,0,0.078627,-0.010211,1,1.116,-2.4,0,-0.884
0.1138,0,0.078644,-0.010225,1,1.12,-2.4,0,-0.88
0.1139,0,0.07866,-0.01024,1,1.124,-2.4,0,-0.876
0.114,0,0.078676,-0.010255,1,1.128,-2.4,0,-0.872
0.11411,0,0.078692,-0.010269,1,1.132,-2.4,0,-0.868
0.11421,0,0.078712,-0.010285,1,1.136,-2.4,0,-0.864
0.11433,0,0.078744,-0.010304,1,1.14,-2.4,0,-0.86
0.11443,0,0.078777,-0.010324,1,1.144,-2.4,0,-0.856
0.11454,0,0.07881,-0.010343,1,1.148,-2.4,0,-0.852
0.11465,0,0.078842,-0.010363,1,1.152,-2.4,0,-0.848
0.11475,0,0.078875,-0.010383,1,1.156,-2.4,0,-0.844
0.11484,-1.042e-34,0.078902,-0.010402,1,1.16,-2.4,0,-0.84
0.11489,1.7441e-35,0.078924,-0.010419,1,1.164,-2.4,0,-0.836
0.11495,0,0.078945,-0.010437,1,1.168,-2.4,0,-0.832
0.11501,1.1383e-20,0.078966,-0.010454,1,1.172,-2.4,0,-0.828
0.11507,-1.4133e-34,0.078987,-0.010471,1,1.176,-2.4,0,-0.824
0.11512,-2.8386e-34,0.079008,-0.010489,1,1.18,-2.4,0,-0.82
0.11515,0,0.079024,-0.010507,1,1.184,-2.4,0,-0.816
0.11517,0,0.079038,-0.010525,1,1.188,-2.4,0,-0.812
0.11519,0,0.079051,-0.010544,1,1.192,-2.4,0,-0.808
0.11521,0,0.079064,-0.010562,1,1.196,-2.4,0,-0.804
0.11523,0,0.079078,-0.01058,1,1.2,-2.4,0,-0.8
0.11523,0,0.079085,-0.010598,1,1.204,-2.4,0,-0.796
0.11521,0,0.07908,-0.010615,1,1.208,-2.4,0,-0.792
0.11518,0,0.079074,-0.010632,1,1.212,-2.4,0,-0.788
0.11514,0,0.079064,-0.010649,1,1.216,-2.4,0,-0.784
0.11509,0,0.07905,-0.010666,1,1.22,-2.4,0,-0.78
0.11504,0,0.079035,-0.010683,1,1.224,-2.4,0,-0.776
0.11499,0,0.07903,-0.0107,1,1.228,-2.4,0,-0.772
0.11495,0,0.079028,-0.010718,1,1.232,-2.4,0,-0.768
0.1149,0,0.079025,-0.010735,1,1.236,-2.4,0,-0.764
0.11492,0,0.07908,-0.010754,1,1.24,-2.4,0,-0.76
0.11495,0,0.079134,-0.010773,1,1.244,-2.4,0,-0.756
0.11497,0,0.079187,-0.010791,1,1.248,-2.4,0,-0.752
5.9802,0,4.0689,403.22,1,1.264,-2.4,0,-0.736
7.0265,0,4.7614,402.77,1,1.268,-2.4,0,-0.732
8.0839,0,5.4618,402.32,1,1.272,-2.4,0,-0.728
9.0085,0,6.0679,401.88,1,1.276,-2.4,0,-0.724
9.1952,0,6.1503,401.52,1,1.28,-2.4,0,-0.72
9.3818,0,6.2327,401.16,1,1.284,-2.4,0,-0.716
9.5363,0,6.2932,400.8,1,1.288,-2.4,0,-0.712
9.6439,0,6.322,400.45,1,1.292,-2.4,0,-0.708
9.7517,0,6.3508,400.09,1,1.296,-2.4,0,-0.704
9.8319,0,6.3593,399.73,1,1.3,-2.4,0,-0.7
9.8949,0,6.3552,399.36,1,1.304,-2.4,0,-0.696
9.958,0,6.3511,398.99,1,1.308,-2.4,0,-0.692
10.009,0,6.3359,398.61,1,1.312,-2.4,0,-0.688
10.057,0,6.3183,398.22,1,1.316,-2.4,0,-0.684
10.105,0,6.3006,397.83,1,1.32,-2.4,0,-0.68
10.153,0,6.283,397.44,1,1.324,-2.4,0,-0.676
