"U:0","U:1","U:2","p","vtkValidPointMask","arc_length"
27.985,0,-0.00016341,72.129,1,2.408
28.064,0,-0.00016907,69.926,1,2.416
28.141,0,-0.00017479,67.755,1,2.424
28.214,0,-0.00018071,65.699,1,2.432
28.287,0,-0.00018664,63.642,1,2.44
28.358,0,-0.0001927,61.65,1,2.448
28.425,0,-0.00019892,59.739,1,2.456
28.492,0,-0.00020516,57.828,1,2.464
28.556,0,-0.00021164,56.011,1,2.472
28.618,0,-0.00021825,54.242,1,2.48
28.68,0,-0.00022486,52.474,1,2.488
28.737,0,-0.00023184,50.828,1,2.496
28.794,0,-0.00023887,49.197,1,2.504
28.85,0,-0.00024594,47.581,1,2.512
28.902,0,-0.00025337,46.085,1,2.52
28.954,0,-0.00026079,44.588,1,2.528
29.004,0,-0.00026833,43.133,1,2.536
29.051,0,-0.00027611,41.763,1,2.544
29.099,0,-0.00028389,40.394,1,2.552
29.143,0,-0.00029187,39.091,1,2.56
29.186,0,-0.00030001,37.842,1,2.568
29.229,0,-0.00030814,36.594,1,2.576
29.269,0,-0.00031654,35.433,1,2.584
29.308,-6.2051e-18,-0.00032501,34.298,1,2.592
29.347,0,-0.00033348,33.163,1,2.6
29.382,0,-0.00034226,32.134,1,2.608
29.417,0,-0.00035104,31.105,1,2.616
29.451,0,-0.00035987,30.098,1,2.624
29.483,0,-0.0003689,29.167,1,2.632
29.514,-5.3501e-18,-0.00037794,28.237,1,2.64
29.545,0,-0.00038708,27.346,1,2.648
29.573,0,-0.00039634,26.506,1,2.656
29.602,0,-0.0004056,25.666,1,2.664
29.628,0,-0.000415,24.881,1,2.672
29.654,0,-0.00042446,24.124,1,2.68
29.68,0,-0.00043392,23.367,1,2.688
29.703,0,-0.00044352,22.676,1,2.696
29.726,8.7e-18,-0.00045314,21.993,1,2.704
29.749,0,-0.00046276,21.318,1,2.712
29.77,0,-0.00047248,20.703,1,2.72
29.79,0,-0.0004822,20.088,1,2.728
29.81,0,-0.00049194,19.492,1,2.736
29.829,0,-0.00050172,18.937,1,2.744
29.848,0,-0.0005115,18.383,1,2.752
29.865,0,-0.00052128,17.857,1,2.76
29.882,0,-0.00053107,17.356,1,2.768
29.899,0,-0.00054086,16.854,1,2.776
29.915,0,-0.00055062,16.389,1,2.784
29.93,0,-0.00056036,15.935,1,2.792
